,id,region,regulated_dam,primary_purpose,primary_type,height,length,volume,surface,drainage,spillway,inspection_frequency,distance_to_nearest_city,hazard,assessment,probability_of_failure,dam_repair_loss,damage_loss,business_interruption_loss,age,modification_count,years_from_modification,years_from_inspection,years_from_assessment
4386,SOAD20072,Navaldia,No,Irrigation,Buttress,3.21,0.053,,,,,0.0,,Low,Not Rated,0.0918,29.4,18.6,46.0,105.0,0,105.0,49.0,11.0
4387,SOAD20126,Lyndrassia,No,,Gravity,9.685,0.258,30000.0,0.09653,2.66329,Uncontrolled,0.2,,Low,Satisfactory,0.0455,29.1,20.9,,,0,,6.0,6.0
4388,SOAD20233,Lyndrassia,No,Irrigation,Earth,11.069,0.133,20000.0,0.05122,745.7212,Uncontrolled,0.0,,Low,Not Rated,0.1144,42.5,13.6,15.0,53.0,0,53.0,53.0,53.0
4389,SOAD20719,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,6.889,0.1,,,,,0.0,55.56,Low,,0.1017,15.4,197.5,,80.0,0,80.0,80.0,80.0
4390,SOAD00013,Lyndrassia,No,Flood Risk Reduction,Earth,11.527,0.123,15797.0,0.20685,2189.22438,Uncontrolled,0.0,,Low,Not Rated,0.0969,46.0,14.0,,27.0,0,27.0,27.0,27.0
4391,SOAD00208,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,5.02,0.033,,,,,0.0,50.62,Low,,0.0953,5.7,121.4,,76.0,0,76.0,76.0,76.0
4392,SOAD00237,Flumevale,Yes,Irrigation,Earth,7.602,0.147,22816.0,0.0394,7.98987,Uncontrolled,0.16666666666666666,8.03,Low,Not Rated,0.051,9.0,296.1,40.9,127.0,0,127.0,20.0,127.0
4393,SOAD00451,Lyndrassia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,7.687,,,0.04925,1129.23496,Uncontrolled,0.0,,Low,Not Rated,0.1121,6.7,17.7,,71.0,0,71.0,71.0,71.0
4394,SOAD00640,Lyndrassia,No,Grade Stabilization,Earth,9.947,0.193,18155.0,0.08471,2247.81676,Uncontrolled,0.0,,Low,Not Rated,0.1074,12.7,18.6,,47.0,0,47.0,47.0,47.0
4395,SOAD01994,Navaldia,No,Water Supply,Earth,16.102,0.449,,0.02561,,,0.0,4.79,Low,Not Rated,0.0919,28.0,401.7,18.9,50.0,0,50.0,50.0,11.0
4396,SOAD02250,Navaldia,No,Other,Earth,11.299,0.843,,,8349.41415,,0.0,,Low,Not Rated,0.1089,32.5,15.7,,45.0,0,45.0,45.0,11.0
4397,SOAD02297,Navaldia,No,Flood Risk Reduction,Earth,9.478,0.261,18509.0,,,,0.0,,Low,Not Rated,0.1211,6.7,22.1,,42.0,0,42.0,42.0,11.0
4398,SOAD02539,Lyndrassia,No,Recreation,Earth,11.698,,,0.03349,276.98216,,0.0,0.0,Low,Not Rated,0.0869,45.4,933.6,8.4,48.0,0,48.0,48.0,48.0
4399,SOAD02756,Flumevale,Yes,Irrigation,Earth,9.321,0.179,,0.05713,21.30632,,0.0,231.6,Low,Satisfactory,0.0732,40.9,91.1,17.5,66.0,0,66.0,38.0,9.0
4400,SOAD02943,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,7.112,0.095,,,,,0.0,32.12,Low,,0.0748,10.4,84.5,,60.0,0,60.0,60.0,60.0
4401,SOAD03057,Lyndrassia,No,Flood Risk Reduction,Earth,12.528,0.227,22297.0,0.07486,1933.54854,Uncontrolled,1.0,,Low,Not Rated,0.1174,8.1,17.7,,24.0,0,24.0,24.0,24.0
4402,SOAD03302,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,5.475,0.245,,,,,0.0,62.51,Low,,0.0786,8.0,126.8,,71.0,0,71.0,71.0,71.0
4403,SOAD03918,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,7.649,0.108,,,,,0.0,4.88,Low,,0.0859,7.2,116.2,,76.0,0,76.0,76.0,76.0
4404,SOAD04173,Lyndrassia,No,Flood Risk Reduction,Earth,10.819,0.279,31738.0,0.1832099999999999,1611.29045,Uncontrolled,0.0,,Low,Not Rated,0.0812,10.1,11.4,,25.0,0,25.0,25.0,25.0
4405,SOAD04601,Navaldia,No,,Earth,4.78,0.128,60175.0,0.04334,,Uncontrolled,0.0,,Low,Not Rated,0.088,27.0,20.2,,18.0,0,18.0,18.0,11.0
4406,SOAD05230,Flumevale,Yes,Fish and Wildlife Pond,Earth,3.173,0.133,7111.0,0.07486,,,0.16666666666666666,46.71,Low,Not Rated,0.0594,15.3,199.8,,121.0,0,121.0,12.0,121.0
4407,SOAD06083,Navaldia,No,Irrigation,Earth,6.748,0.117,,,,,0.0,,Low,Not Rated,0.0768,20.1,14.2,10.1,57.0,0,57.0,57.0,11.0
4408,SOAD06148,Lyndrassia,No,Recreation,Earth,11.476,,,0.03546,1270.38933,,0.0,0.0,Low,Not Rated,0.1069,47.2,501.1,9.1,67.0,0,67.0,67.0,67.0
4409,SOAD06643,Navaldia,Yes,Recreation,Earth,4.514,0.157,,0.0591,,Uncontrolled,0.2,,High,Fair,0.0789,34.1,753.4,4.3,58.0,1,51.0,7.0,6.0
4410,SOAD06693,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,7.187,0.067,,,,,0.0,38.63,Low,,0.0883,22.9,89.6,,70.0,0,70.0,70.0,70.0
4411,SOAD06780,Flumevale,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,6.952,0.1,,0.07486,7.98987,,0.0,17.91,Low,Fair,0.0885,10.9,296.1,,46.0,0,46.0,33.0,8.0
4412,SOAD07070,Lyndrassia,No,Grade Stabilization,Earth,11.7,0.133,14870.0,0.19109,2812.43424,Uncontrolled,0.0,,Low,Not Rated,0.1085,21.2,5.0,,21.0,0,21.0,21.0,21.0
4413,SOAD07676,Lyndrassia,Yes,,Earth,10.872,0.078,,0.05122,4242.62097,,0.0,,Low,,0.0792,28.6,13.8,,,0,,,
4414,SOAD08086,Lyndrassia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,10.056,0.151,15445.0,0.02561,921.49834,Uncontrolled,0.0,,Low,Not Rated,0.0671,8.1,11.2,,23.0,0,23.0,23.0,23.0
4415,SOAD08251,Lyndrassia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,9.017,0.167,19000.0,0.01576,183.76701,Uncontrolled,0.0,,Low,Not Rated,0.0759,4.9,17.6,,26.0,0,26.0,26.0,26.0
4416,SOAD08271,Lyndrassia,Yes,Flood Risk Reduction,Earth,,,,,,Uncontrolled,0.0,,Significant,,0.1498,327.6,313.1,,26.0,0,26.0,26.0,26.0
4417,SOAD08900,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,10.228,0.033,,,26.6329,Uncontrolled,0.0,19.47,Low,,0.0945,17.0,240.7,,75.0,0,75.0,75.0,75.0
4418,SOAD08921,Navaldia,Yes,Recreation,Earth,8.425,0.269,,0.05713,13.31645,Uncontrolled,1.0,,High,Poor,0.1266,22.4,480.5,9.5,52.0,0,52.0,5.0,52.0
4419,SOAD09198,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,8.985,0.267,,,,,0.0,57.51,Low,,0.0803,14.1,95.8,,99.0,0,99.0,99.0,99.0
4420,SOAD09215,Navaldia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,5.236,0.167,,0.04925,7.98987,,0.0,,Low,Not Rated,0.0721,22.6,16.9,,,0,,,11.0
4421,SOAD09605,Lyndrassia,No,Flood Risk Reduction,Earth,10.869,0.127,22470.0,0.02561,2.66329,Uncontrolled,0.0,3.28,Low,Not Rated,0.1173,5.8,157.5,,40.0,0,40.0,40.0,40.0
4422,SOAD09740,Flumevale,Yes,Water Supply,Other,7.898,0.577,8850.0,0.03349,,,1.0,0.0,High,Satisfactory,0.0741,19.2,187.8,12.0,93.0,0,93.0,3.0,8.0
4423,SOAD09992,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,4.235,0.05,,,,,0.0,3.36,Low,,0.1056,8.1,650.9,,60.0,0,60.0,60.0,60.0
4424,SOAD10059,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,8.14,0.367,,,21.30632,Uncontrolled,0.0,70.75,Low,,0.1247,6.6,191.9,,49.0,0,49.0,49.0,49.0
4425,SOAD10147,Navaldia,No,Recreation,Earth,5.634,0.167,,,,,0.5,,Significant,Not Rated,0.1499,45.8,169.6,2.9,58.0,0,58.0,16.0,11.0
4426,SOAD10173,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,7.265,0.133,,,10.65316,,0.0,7.76,Low,,0.0918,16.2,282.3,,77.0,0,77.0,77.0,77.0
4427,SOAD10233,Flumevale,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,2.911,0.141,,0.06107,,,0.0,27.98,Low,Satisfactory,0.0811,36.1,456.3,,124.0,0,124.0,47.0,4.0
4428,SOAD10369,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,5.151,0.267,,,,,0.0,56.8,Low,,0.0914,10.8,228.1,,66.0,0,66.0,66.0,66.0
4429,SOAD10697,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,4.17,0.092,,,,,0.0,48.53,Low,,0.1186,12.3,106.4,,70.0,0,70.0,70.0,70.0
4430,SOAD10756,Lyndrassia,No,Recreation,Rockfill,11.684,,,0.03152,170.45056,,0.0,0.0,Low,Not Rated,0.0867,14.9,790.8,8.7,56.0,0,56.0,56.0,56.0
4431,SOAD11107,Navaldia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,9.16,0.062,,,4269.25387,,0.0,19.97,Low,Not Rated,0.108,8.9,322.0,,57.0,0,57.0,57.0,11.0
4432,SOAD11489,Navaldia,No,Water Supply,Earth,2.477,0.298,,0.08274,,,0.0,,Low,Not Rated,0.097,12.5,23.4,43.9,63.0,0,63.0,63.0,11.0
4433,SOAD11626,Navaldia,No,Recreation,Earth,8.678,0.36,16205.0,,,,0.0,,Low,Not Rated,0.0759,39.0,13.9,5.7,49.0,0,49.0,49.0,11.0
4434,SOAD11930,Navaldia,No,Flood Risk Reduction,Earth,7.31,0.207,13980.0,0.0591,2.66329,,0.0,,Low,Not Rated,0.0782,33.9,19.6,,55.0,0,55.0,55.0,11.0
4435,SOAD12461,Navaldia,No,,Earth,4.683,0.22,30000.0,0.05516,7.98987,Uncontrolled,0.0,,Low,Not Rated,0.1192,28.2,19.4,,33.0,1,18.0,18.0,11.0
4436,SOAD12709,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,5.117,0.133,,,,,0.0,0.0,Low,,0.1042,13.8,522.5,,75.0,0,75.0,75.0,75.0
4437,SOAD12785,Lyndrassia,No,Water Supply,Earth,6.523,,,0.05516,649.84276,,0.0,0.0,Low,Not Rated,0.0746,44.4,778.5,10.2,58.0,0,58.0,58.0,58.0
4438,SOAD12802,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,7.932,0.117,,,,,0.0,19.74,Low,,0.1033,6.2,195.0,,68.0,0,68.0,68.0,68.0
4439,SOAD13184,Navaldia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,12.243,0.2,,0.03349,,Uncontrolled,0.5,,Significant,Not Rated,0.1585,16.8,79.2,,48.0,0,48.0,14.0,9.0
4440,SOAD13423,Flumevale,Yes,Irrigation,Earth,2.84,0.71,17111.0,0.08274,,,0.16666666666666666,3.22,Low,Not Rated,0.0321,19.8,460.4,27.8,132.0,0,132.0,132.0,132.0
4441,SOAD13500,Navaldia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,7.08,0.51,,0.03743,,,0.0,,Low,Not Rated,0.1189,38.4,22.8,,63.0,0,63.0,63.0,11.0
4442,SOAD13749,Navaldia,Yes,Water Supply,Earth,2.692,0.333,,0.0925899999999999,34.62277,,0.2,,Low,Not Rated,0.0602,47.4,14.3,31.1,123.0,1,19.0,9.0,123.0
4443,SOAD13942,Navaldia,Yes,Flood Risk Reduction,Earth,12.603,,,,,,0.0,,Low,Not Rated,0.1099,15.1,16.9,,,0,,,11.0
4444,SOAD13975,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,10.429,0.107,,,10.65316,Uncontrolled,0.0,0.0,Low,,0.083,21.5,631.3,,58.0,0,58.0,58.0,58.0
4445,SOAD14055,Lyndrassia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,9.001,,,0.04137,1331.645,,0.0,0.0,Low,Not Rated,0.0721,40.4,209.2,,65.0,0,65.0,65.0,65.0
4446,SOAD14123,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,5.054,0.05,,,,,0.0,38.23,Low,,0.0881,9.1,122.2,,70.0,0,70.0,70.0,70.0
4447,SOAD14172,Navaldia,No,Other,Earth,10.691,0.108,10110.0,,,,0.0,,Low,Not Rated,0.0825,21.9,18.3,,43.0,0,43.0,43.0,11.0
4448,SOAD14454,Lyndrassia,Yes,Irrigation,Earth,4.824,0.067,,,,,0.0,78.95,Low,,0.0879,12.6,233.1,23.6,95.0,0,95.0,95.0,95.0
4449,SOAD14589,Lyndrassia,No,Flood Risk Reduction,Earth,10.538,0.167,16048.0,0.13396,506.0251,Uncontrolled,1.0,,Low,Not Rated,0.1036,46.8,8.0,,25.0,0,25.0,25.0,25.0
4450,SOAD14646,Navaldia,Yes,Other,Earth,7.029,1.067,,0.07683,,Uncontrolled,0.2,,Significant,Not Rated,0.1403,12.5,209.8,,77.0,0,77.0,2.0,4.0
4451,SOAD14690,Lyndrassia,No,Recreation,Earth,11.642,,,0.03546,7931.27762,,0.0,13.87,Low,Not Rated,0.0872,39.1,131.7,7.1,54.0,0,54.0,54.0,54.0
4452,SOAD15912,Flumevale,Yes,Water Supply,Earth,9.311,0.123,,0.06501,5.32658,,2.0,,Low,Satisfactory,0.0598,19.1,9.4,47.5,72.0,0,72.0,3.0,8.0
4453,SOAD16102,Navaldia,Yes,Recreation,Earth,8.074,0.089,,0.0788,2.66329,,0.5,,Significant,Fair,0.1495,36.1,194.6,9.3,77.0,1,12.0,5.0,77.0
4454,SOAD16808,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,4.044,0.1,,,,,0.0,75.24,Low,,0.0779,12.8,150.8,,52.0,0,52.0,52.0,52.0
4455,SOAD17991,Lyndrassia,No,Recreation,Rockfill,8.888,,,0.04137,689.79211,,0.0,4.59,High,Not Rated,0.1497,29.6,293.4,7.2,87.0,0,87.0,46.0,87.0
4456,SOAD18086,Lyndrassia,Yes,Irrigation,Earth,8.917,0.283,,0.05713,,,0.0,23.19,Significant,,0.1019,40.5,182.2,16.8,45.0,0,45.0,45.0,45.0
4457,SOAD18285,Lyndrassia,No,Other,Earth,11.114,0.125,14000.0,0.01576,279.64545,Uncontrolled,1.0,,Low,Not Rated,0.1147,39.3,19.6,,29.0,0,29.0,29.0,29.0
4458,SOAD19140,Lyndrassia,No,Flood Risk Reduction,Earth,11.343,0.182,17536.0,0.20685,1081.29574,Uncontrolled,1.0,,Low,Not Rated,0.0956,42.0,23.1,,31.0,0,31.0,26.0,31.0
4459,SOAD19383,Flumevale,Yes,Irrigation,Earth,5.704,0.397,,0.06698,,,0.16666666666666666,3.3,Low,Not Rated,0.0978,7.3,373.2,16.4,130.0,0,130.0,6.0,130.0
4460,SOAD19952,Lyndrassia,No,Grade Stabilization,Earth,11.479,0.187,22833.0,0.02561,308.94164,Uncontrolled,0.0,,Low,Not Rated,0.1222,34.5,17.9,,60.0,0,60.0,60.0,60.0
4461,SOAD20563,Navaldia,No,Water Supply,Earth,7.796,0.167,,,,,0.0,,Low,Not Rated,0.0676,10.8,9.7,36.6,49.0,0,49.0,49.0,11.0
4462,SOAD00496,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,4.045,0.15,,,,,0.0,71.31,Low,,0.0742,12.7,224.7,,46.0,0,46.0,46.0,46.0
4463,SOAD02016,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,10.932,0.075,,,2.66329,Uncontrolled,0.0,18.05,Low,,0.0659,15.2,352.2,,72.0,0,72.0,72.0,72.0
4464,SOAD02157,Navaldia,No,Recreation,Earth,4.333,0.207,,0.0394,2.66329,Uncontrolled,0.0,,Significant,Not Rated,0.1502,22.1,387.6,4.6,100.0,1,36.0,15.0,10.0
4465,SOAD03203,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,6.484,0.087,,,,,0.0,73.76,Low,,0.0863,14.7,57.1,,61.0,0,61.0,61.0,61.0
4466,SOAD03301,Navaldia,Yes,Other,Earth,12.465,0.09,,0.04137,2.66329,,1.0,,High,Fair,0.1265,47.5,762.5,,36.0,0,36.0,5.0,36.0
4467,SOAD03570,Flumevale,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,11.539,0.272,,0.0591,7.98987,,0.0,117.07,Low,Fair,0.0949,10.6,148.4,,62.0,0,62.0,38.0,9.0
4468,SOAD03902,Lyndrassia,No,Debris Control,Earth,10.399,0.2,9000.0,0.02364,266.329,Uncontrolled,0.0,,Low,Not Rated,0.1073,33.8,10.4,,25.0,0,25.0,25.0,25.0
4469,SOAD04219,Flumevale,Yes,Other,Earth,12.592,0.083,,,,,2.0,10.89,Low,Fair,0.0831,12.3,195.5,,,0,,2.0,7.0
4470,SOAD04516,Lyndrassia,No,Recreation,Earth,12.274,,,0.03349,250.34926,,0.0,12.65,High,Not Rated,0.1291,10.5,316.7,5.4,51.0,0,51.0,46.0,51.0
4471,SOAD04567,Lyndrassia,Yes,Recreation,Earth,18.189,0.097,,0.02364,,Uncontrolled,0.5,0.0,High,Satisfactory,0.0761,11.6,702.0,8.5,19.0,0,19.0,5.0,18.0
4472,SOAD04789,Lyndrassia,No,Other,Earth,8.464,,,0.00788,993.40717,,0.0,1.64,Low,Not Rated,0.0754,45.5,123.9,,62.0,0,62.0,62.0,62.0
4473,SOAD04975,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,8.95,0.15,,,,,0.0,60.14,Low,,0.069,21.6,156.0,,59.0,0,59.0,59.0,59.0
4474,SOAD05804,Lyndrassia,No,Flood Risk Reduction,Earth,8.479,0.133,12535.0,0.0394,1560.68794,Uncontrolled,1.0,,Low,Not Rated,0.0674,43.7,8.0,,24.0,0,24.0,24.0,24.0
4475,SOAD05869,Lyndrassia,No,"Fire Protection, Stock, Or Small Fish Pond",Gravity,5.845,0.21,13356.0,0.15169,42.61264,Controlled,1.0,55.49,High,Satisfactory,0.0854,47.3,74.5,,22.0,1,16.0,5.0,5.0
4476,SOAD06039,Lyndrassia,No,Grade Stabilization,Earth,8.797,0.177,9950.0,0.01773,143.81766,Uncontrolled,0.0,,Low,Not Rated,0.1127,13.7,16.7,,51.0,0,51.0,51.0,51.0
4477,SOAD06288,Flumevale,No,Flood Risk Reduction,Rockfill,8.39,0.2,,,,,0.2,,Significant,Not Available,0.1498,184.9,164.7,,63.0,0,63.0,3.0,63.0
4478,SOAD06425,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,6.715,0.1,,,2.66329,,0.0,32.69,Low,,0.0977,17.5,131.8,,75.0,0,75.0,75.0,75.0
4479,SOAD06601,Lyndrassia,No,Grade Stabilization,Earth,8.694,0.123,9575.0,0.04728,2314.39901,Uncontrolled,0.0,,Low,Not Rated,0.0827,25.5,11.6,,45.0,0,45.0,45.0,45.0
4480,SOAD06743,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,7.874,0.05,,,,,0.0,15.08,Low,,0.0733,12.8,342.8,,71.0,0,71.0,71.0,71.0
4481,SOAD06766,Lyndrassia,No,Flood Risk Reduction,Earth,8.896,0.137,18850.0,0.03152,748.38449,Uncontrolled,0.0,,Low,Not Rated,0.0867,20.1,13.7,,37.0,0,37.0,37.0,37.0
4482,SOAD06787,Navaldia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,4.021,0.257,,0.06107,,,0.0,,Low,Not Rated,0.0891,30.3,23.2,,60.0,0,60.0,60.0,11.0
4483,SOAD06858,Lyndrassia,No,Recreation,Earth,8.677,,,0.04334,988.08059,,0.0,1.63,High,Not Rated,0.0882,29.5,397.9,8.6,69.0,0,69.0,69.0,69.0
4484,SOAD07025,Lyndrassia,No,Grade Stabilization,Earth,6.733,0.25,8980.0,0.07289,1824.35365,Uncontrolled,0.0,,Significant,Not Rated,0.137,11.7,359.3,,51.0,0,51.0,45.0,51.0
4485,SOAD07055,Navaldia,Yes,,,5.773,0.891,,0.06501,,Uncontrolled,0.2,,High,Satisfactory,0.0649,25.0,599.7,,11.0,0,11.0,2.0,2.0
4486,SOAD07364,Navaldia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,8.567,0.155,5469.0,,,,0.0,1.64,Low,Not Rated,0.0934,28.5,532.2,,48.0,0,48.0,48.0,11.0
4487,SOAD07374,Navaldia,No,Recreation,Earth,6.207,0.173,,0.08077,,,0.0,,Low,Not Rated,0.0717,29.3,15.3,7.1,57.0,0,57.0,57.0,11.0
4488,SOAD07987,Navaldia,No,Recreation,Earth,9.293,0.16,10395.0,,,,0.0,,Low,Not Rated,0.1099,13.8,11.0,6.8,47.0,0,47.0,47.0,11.0
4489,SOAD08098,Lyndrassia,Yes,Irrigation,Earth,10.016,0.133,,,,,0.0,13.48,Low,,0.0771,18.9,275.4,20.9,86.0,0,86.0,86.0,86.0
4490,SOAD08186,Lyndrassia,No,,,6.034,,,,,,0.0,0.0,Low,Not Available,0.104,5.3,335.2,,88.0,0,88.0,88.0,88.0
4491,SOAD08194,Lyndrassia,No,Flood Risk Reduction,Earth,8.635,0.147,14449.0,0.01576,90.55186,Uncontrolled,0.2,,Low,Not Rated,0.0673,20.0,4.9,,22.0,0,22.0,21.0,22.0
4492,SOAD08313,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,4.627,0.017,,,,,0.0,13.1,Low,,0.0953,19.7,177.7,,92.0,0,92.0,92.0,92.0
4493,SOAD08825,Flumevale,Yes,Debris Control,Earth,16.8,0.389,339400.0,0.05122,2.66329,,2.0,,Low,Satisfactory,0.0628,29.0,18.1,,28.0,0,28.0,3.0,8.0
4494,SOAD09201,Flumevale,Yes,Other,Gravity,6.036,0.121,1200.0,0.2501899999999999,3723.27942,,2.0,,Low,Satisfactory,0.0685,204.5,19.5,,104.0,0,104.0,3.0,8.0
4495,SOAD09210,Lyndrassia,No,Grade Stabilization,Earth,10.354,0.157,18100.0,0.13593,7984.54342,Uncontrolled,0.0,,Low,Not Rated,0.0792,34.6,10.1,,17.0,0,17.0,17.0,17.0
4496,SOAD09235,Navaldia,No,Irrigation,Earth,2.718,0.921,,,,,0.0,,Low,Not Rated,0.0781,29.1,12.6,30.7,51.0,0,51.0,51.0,11.0
4497,SOAD09246,Navaldia,No,Debris Control,Earth,6.543,0.133,,0.0394,,,0.0,,Low,Not Rated,0.1025,39.0,5.5,,60.0,0,60.0,60.0,11.0
4498,SOAD09349,Lyndrassia,No,Irrigation,Earth,9.417,,,0.04334,737.73133,,0.0,48.29,High,Not Rated,0.1158,36.3,92.9,38.6,47.0,0,47.0,47.0,47.0
4499,SOAD09819,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,8.887,0.033,,,18.64303,Uncontrolled,0.0,51.25,Low,,0.0726,16.4,196.4,,86.0,0,86.0,86.0,86.0
4500,SOAD10164,Flumevale,Yes,Water Supply,Earth,11.693,0.067,,0.0788,2.66329,,2.0,,Low,Fair,0.0899,25.7,16.3,54.0,140.0,0,140.0,2.0,8.0
4501,SOAD10317,Flumevale,Yes,Water Supply,Earth,8.351,0.646,78297.0,0.04137,,,1.0,1.08,Significant,Satisfactory,0.1099,10.5,272.1,7.1,23.0,0,23.0,4.0,8.0
4502,SOAD10495,Navaldia,No,,Earth,4.249,0.43,,0.12608,,,0.0,,Low,Not Rated,0.0713,16.0,9.7,,73.0,0,73.0,73.0,11.0
4503,SOAD10529,Navaldia,No,,Earth,6.325,0.183,,0.05713,,,0.0,,Low,Not Rated,0.1104,22.8,20.4,,63.0,0,63.0,63.0,11.0
4504,SOAD10623,Flumevale,Yes,Water Supply,Earth,4.161,0.4,4000.0,0.28565,122.51134,,2.0,,Low,Satisfactory,0.0717,438.3,8.8,53.6,113.0,0,113.0,4.0,8.0
4505,SOAD10816,Navaldia,Yes,Recreation,Earth,3.706,0.15,,0.07289,13.31645,Uncontrolled,0.2,,Low,Fair,0.0554,26.8,11.1,7.7,94.0,0,94.0,7.0,94.0
4506,SOAD11278,Lyndrassia,No,Grade Stabilization,Earth,12.493,0.058,10134.0,0.04137,838.93635,Uncontrolled,1.0,,Low,Not Rated,0.1129,17.1,17.4,,26.0,0,26.0,26.0,26.0
4507,SOAD11409,Lyndrassia,No,Recreation,Earth,7.194,,,0.0591,838.93635,,0.0,0.0,Low,Not Rated,0.0834,5.0,577.2,3.5,53.0,0,53.0,53.0,53.0
4508,SOAD11468,Navaldia,No,,Earth,4.695,0.1,,,,,0.0,3.23,Low,Not Rated,0.1158,26.1,491.1,,65.0,0,65.0,65.0,11.0
4509,SOAD11469,Lyndrassia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,7.826,,,0.04334,207.73662,,0.0,15.99,Low,Not Rated,0.1154,17.0,438.7,,63.0,0,63.0,63.0,63.0
4510,SOAD11708,Flumevale,Yes,Flood Risk Reduction,Earth,9.946,0.142,9560.0,0.04925,,Uncontrolled,0.3333333333333333,8.24,Low,Fair,0.0773,36.3,179.2,,69.0,0,69.0,14.0,8.0
4511,SOAD12803,Flumevale,Yes,Irrigation,Earth,6.006,0.128,,0.04137,,Uncontrolled,0.16666666666666666,43.36,Low,Satisfactory,0.0495,5.8,189.2,8.0,65.0,0,65.0,7.0,6.0
4512,SOAD12884,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,5.542,0.075,,,,,0.0,0.0,Low,,0.0924,15.9,232.0,,65.0,0,65.0,65.0,65.0
4513,SOAD12912,Navaldia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,8.751,0.167,,,,,0.0,,Low,Not Rated,0.123,45.2,16.5,,62.0,0,62.0,51.0,11.0
4514,SOAD13095,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,6.015,0.067,,,,,0.0,46.71,Low,,0.0735,8.1,213.8,,68.0,0,68.0,68.0,68.0
4515,SOAD13309,Navaldia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,6.35,0.313,,,,,0.0,,Low,Not Rated,0.0941,25.0,13.5,,58.0,0,58.0,58.0,11.0
4516,SOAD13318,Lyndrassia,No,Recreation,Earth,7.291,,,0.0591,537.9845799999999,,0.0,0.0,Low,Not Rated,0.0999,8.7,717.3,8.1,56.0,0,56.0,56.0,56.0
4517,SOAD13467,Navaldia,Yes,Recreation,Earth,3.688,0.06,,0.10638,2.66329,Uncontrolled,0.5,,High,Poor,0.1343,31.6,868.3,6.6,74.0,0,74.0,4.0,5.0
4518,SOAD13966,Flumevale,Yes,Irrigation,Earth,8.288,0.268,30055.0,0.06501,,,0.16666666666666666,19.21,Low,Not Rated,0.0554,28.4,147.3,39.4,69.0,0,69.0,3.0,69.0
4519,SOAD14191,Navaldia,Yes,Recreation,Earth,2.518,0.083,,0.12017,2.66329,Uncontrolled,0.5,,Significant,Not Rated,0.1578,22.3,343.7,4.1,,0,,8.0,
