"","X","id","region","regulated_dam","primary_purpose","primary_type","height","length","volume","surface","drainage","spillway","inspection_frequency","distance_to_nearest_city","hazard","assessment","probability_of_failure","dam_repair_loss","damage_loss","business_interruption_loss","age","modification_count","years_from_modification","years_from_inspection","years_from_assessment","one_year_prob"
"533",532,"SOAD12382","Lyndrassia","No","Grade Stabilization","Earth",9.374,0.1,6365,0.07683,1331.645,"Uncontrolled",0,NA,"Low","Not Rated",0.1015,47.6,9.2,NA,29,0,29,29,29,0.0112361476346482
"534",533,"SOAD12908","Lyndrassia","No","Recreation","Earth",6.192,NA,NA,0.01576,519.34155,"",0,46.68,"High","Not Rated",0.1236,28.6,92.1,9.2,55,0,55,55,55,0.0140143963111996
"535",534,"SOAD13059","Lyndrassia","No","Grade Stabilization","Earth",10.419,0.133,11860,0.03349,1070.64258,"Uncontrolled",0,NA,"Low","Not Rated",0.1168,37.8,17.4,NA,21,0,21,21,21,0.0131610429312025
"536",535,"SOAD13736","Navaldia","Yes","Recreation","Earth",6.032,0.073,NA,0.01773,2.66329,"Uncontrolled",0.5,NA,"Significant","Satisfactory",0.1237,45.3,250.9,6.1,NA,1,20,6,NA,0.014028240751088
"537",536,"SOAD13887","Lyndrassia","No","Grade Stabilization","Earth",10.04,0.129,6495,0.03349,633.86302,"Uncontrolled",0,NA,"Low","Not Rated",0.0964,41.2,17.3,NA,23,0,23,23,23,0.0106099794935007
"538",537,"SOAD14262","Lyndrassia","No","Grade Stabilization","Earth",9.521,0.09,7509,0.00788,1001.39704,"Uncontrolled",0,NA,"Low","Not Rated",0.0804,15.4,17.9,NA,27,0,27,27,27,0.00868557198545853
"539",538,"SOAD14822","Lyndrassia","No","Grade Stabilization","Earth",9.907,0.111,5765,0.01773,1976.16118,"Uncontrolled",0,NA,"Low","Not Rated",0.0573,24.1,5.2,NA,24,0,24,24,24,0.0060410312344721
"540",539,"SOAD14882","Lyndrassia","No","Grade Stabilization","Earth",9.443,0.253,8700,0.04334,1294.35894,"",0,NA,"Low","Not Rated",0.0539,10.3,5.8,NA,44,0,44,44,44,0.00565997536786225
"541",540,"SOAD15541","Navaldia","Yes","Flood Risk Reduction","Earth",6.778,0.053,NA,NA,2.66329,"",0.5,NA,"Significant","Satisfactory",0.1335,456.2,265.2,NA,37,1,14,6,37,0.015345861866843
"542",541,"SOAD16995","Lyndrassia","No","Grade Stabilization","Earth",11.494,0.117,10014,0.12805,2173.24464,"Uncontrolled",0,NA,"Low","Not Rated",0.0865,30.8,8.4,NA,40,0,40,40,40,0.0094124618154157
"543",542,"SOAD18073","Lyndrassia","No","Grade Stabilization","Earth",10.103,0.102,5844,0.01773,87.88857,"Uncontrolled",0,NA,"Low","Not Rated",0.0753,14.6,16.8,NA,30,0,30,30,30,0.00808418133785762
"544",543,"SOAD18320","Flumevale","Yes","Water Supply","Earth",15.01,0.067,11000,0.01576,2.66329,"",1,0.79,"High","Satisfactory",0.0941,33.6,569.5,15,135,0,135,3,8,0.0103297253161942
"545",544,"SOAD20175","Navaldia","No","Fire Protection, Stock, Or Small Fish Pond","Earth",9.138,0.189,9716,NA,NA,"",0,NA,"Low","Not Rated",0.0906,31.3,15.9,NA,46,0,46,46,11,0.00990566216307597
"546",545,"SOAD20556","Navaldia","Yes","Recreation","Earth",13.573,0.045,NA,NA,5.32658,"",0.5,NA,"Significant","Satisfactory",0.1141,186.1,160.9,6.7,73,0,73,7,73,0.0128147943086673
"547",546,"SOAD01738","Navaldia","No","","Earth",9.362,0.115,9070,NA,NA,"",0,NA,"Low","Not Rated",0.1119,9.6,17,NA,61,0,61,61,11,0.0125437888589564
"548",547,"SOAD02093","Lyndrassia","No","Fire Protection, Stock, Or Small Fish Pond","Earth",12.041,0.142,7680,0.04728,1302.34881,"Uncontrolled",0,NA,"Low","Not Rated",0.1126,33.6,20.6,NA,24,0,24,24,24,0.012628781290075
"549",548,"SOAD02366","Flumevale","Yes","Debris Control","Earth",26.889,0.619,379000,0.02364,26.6329,"",1,0,"High","Satisfactory",0.1031,27.1,952.3,NA,45,0,45,3,8,0.0114340058163271
"550",549,"SOAD02493","Navaldia","No","Fire Protection, Stock, Or Small Fish Pond","Earth",10.215,0.172,9475,NA,NA,"",0,NA,"Low","Not Rated",0.1211,37.9,20.8,NA,64,0,64,64,11,0.0137328143740175
"551",550,"SOAD02794","Navaldia","No","Other","Earth",10.796,0.066,8244,NA,NA,"",0,NA,"Low","Not Rated",0.0872,27.1,15.4,NA,45,0,45,45,11,0.00949640048166655
"552",551,"SOAD03626","Lyndrassia","No","Grade Stabilization","Earth",8.672,0.093,6644,0.02364,130.50121,"Uncontrolled",0,NA,"Low","Not Rated",0.1134,41.4,8.5,NA,28,0,28,28,28,0.0127273256125947
"553",552,"SOAD04538","Navaldia","No","","Earth",8.783,0.157,8822,NA,NA,"",0,NA,"Low","Not Rated",0.0642,28.5,17.8,NA,68,0,68,68,11,0.00681933284391307
"554",553,"SOAD04740","Flumevale","No","Fire Protection, Stock, Or Small Fish Pond","Earth",8.287,NA,NA,NA,NA,"",0,NA,"Significant","Not Available",0.1843,28.9,448.7,NA,71,0,71,3,71,0.0226340240372743
"555",554,"SOAD05331","Flumevale","Yes","Water Supply","Earth",7.127,0.56,11822,0.01576,NA,"",0.5,11.47,"Significant","Fair",0.142,42.4,176.2,22.3,29,0,29,5,5,0.0165004191691918
"556",555,"SOAD05430","Lyndrassia","No","Other","Earth",13.547,0.117,14000,0.00788,2689.9229,"Uncontrolled",0,NA,"Low","Not Rated",0.0683,22.1,9.7,NA,26,0,26,26,26,0.00728485503635217
"557",556,"SOAD05879","Lyndrassia","No","Fish and Wildlife Pond","Earth",11.352,0.092,5400,0.00788,535.32129,"Uncontrolled",0,NA,"Low","Not Rated",0.1058,10.5,7.6,NA,48,0,48,48,48,0.0117695037598495
"558",557,"SOAD06385","Lyndrassia","No","Grade Stabilization","Earth",12.607,0.143,10692,0.07092,1406.21712,"Uncontrolled",0,NA,"Low","Not Rated",0.0942,6,18.8,NA,45,0,45,45,45,0.0103418837219604
"559",558,"SOAD06931","Lyndrassia","Yes","Other","Earth",13.47,0.124,15000,0.01576,NA,"",0.2,0,"Low","Satisfactory",0.0314,37.2,444.5,NA,52,0,52,3,18,0.00322269102450506
"560",559,"SOAD07134","Lyndrassia","No","Other","Earth",12.526,0.086,8445,0.0925899999999999,1350.28803,"Uncontrolled",0,NA,"Low","Not Rated",0.0718,31.4,6,NA,26,0,26,26,26,0.00768411835079302
"561",560,"SOAD07427","Navaldia","No","Recreation","Earth",9.603,NA,NA,0.00591,NA,"",0,NA,"Low","Not Rated",0.0877,35,21.5,6,55,0,55,49,11,0.00955642335574666
"562",561,"SOAD08885","Lyndrassia","No","Grade Stabilization","Earth",8.965,0.156,7968,0.02167,812.30345,"Uncontrolled",0,NA,"Low","Not Rated",0.1002,13.9,15.4,NA,29,0,29,29,29,0.0110758954651412
"563",562,"SOAD08965","Navaldia","No","Fire Protection, Stock, Or Small Fish Pond","Earth",8.606,0.067,2736,NA,NA,"",0,NA,"Low","Not Rated",0.0728,10.6,11.1,NA,57,0,57,57,11,0.00779852852161775
"564",563,"SOAD08968","Flumevale","Yes","Irrigation","Earth",18.088,0.117,32000,0.01576,NA,"",1,NA,"Significant","Fair",0.1225,5.4,179.7,30.2,NA,0,NA,2,8,0.0139238331174592
"565",564,"SOAD09486","Flumevale","Yes","Water Supply","Earth",12.535,0.067,NA,0.01576,NA,"",1,NA,"Significant","Not Rated",0.1499,19.8,155.4,62.8,NA,0,NA,7,3,0.0176138575706934
"566",565,"SOAD09651","Lyndrassia","No","Grade Stabilization","Earth",11.356,0.106,8766,0.00788,223.71636,"Uncontrolled",0,0,"Low","Not Rated",0.0829,30.1,486.5,NA,20,0,20,20,20,0.00898248668751049
"567",566,"SOAD10136","Lyndrassia","No","Grade Stabilization","Earth",10.859,0.125,7850,0.00788,1297.02223,"Uncontrolled",0,NA,"Low","Not Rated",0.0799,21.6,11.2,NA,22,0,22,22,22,0.00862635471423757
"568",567,"SOAD10266","Lyndrassia","No","Grade Stabilization","Earth",9.001,0.103,8539,0.02561,274.31887,"Uncontrolled",0,NA,"Low","Not Rated",0.0814,23.6,15.2,NA,34,0,34,34,34,0.00880417246395965
"569",568,"SOAD10560","Flumevale","Yes","Other","Earth",17.26,0.09,18300,0.01773,NA,"",2,NA,"Low","Satisfactory",0.0746,43.6,19.5,NA,63,0,63,3,8,0.00800209810436993
"570",569,"SOAD10701","Flumevale","Yes","Recreation","Earth",9.345,0.09,NA,0.01773,47.93922,"",0,144.73,"Low","Fair",0.0886,19.7,176.4,2.9,70,0,70,33,11,0.00966460516671679
"571",570,"SOAD11061","Lyndrassia","No","Grade Stabilization","Earth",9.388,0.093,6074,0.00788,716.42501,"Uncontrolled",0,NA,"Low","Not Rated",0.0511,26.8,10.4,NA,27,0,27,27,27,0.0053474782997926
"572",571,"SOAD11391","Navaldia","Yes","Recreation","Earth",4.137,0.15,NA,0.00788,2.66329,"",1,NA,"High","Fair",0.1025,38.4,729.2,4.3,29,0,29,5,29,0.0113597271702197
"573",572,"SOAD11488","Lyndrassia","No","Grade Stabilization","Earth",10.794,0.107,6170,0.01576,697.78198,"Uncontrolled",0,NA,"Low","Not Rated",0.0924,21.8,20.8,NA,48,0,48,48,48,0.0101233948747401
"574",573,"SOAD12298","Navaldia","No","Flood Risk Reduction","Earth",10.151,0.114,8063,NA,NA,"",0,NA,"Low","Not Rated",0.0732,31.5,6.1,NA,43,0,43,43,11,0.00784433619964757
"575",574,"SOAD13998","Lyndrassia","No","Recreation","Earth",8.206,0.162,NA,0.02561,119.84805,"",0,0,"High","Not Rated",0.1234,41.8,162.6,3.5,31,0,31,31,31,0.01398673823196
"576",575,"SOAD14640","Flumevale","Yes","Irrigation","Earth",12.453,0.077,NA,0.01576,13.31645,"",0,22.22,"Low","Satisfactory",0.0694,45.5,307.6,5.5,67,0,67,37,9,0.00741014681941509
"577",576,"SOAD15058","Lyndrassia","No","Recreation","Earth",10.881,0.105,10572,0.02167,1219.78682,"Uncontrolled",0.5,NA,"Low","Not Rated",0.0948,11.1,17,9.2,27,0,27,27,27,0.0104148844609259
"578",577,"SOAD15401","Lyndrassia","No","Fire Protection, Stock, Or Small Fish Pond","Earth",10.677,0.113,4990,0.02561,519.34155,"Uncontrolled",0,NA,"Low","Not Rated",0.0829,44.5,8.8,NA,24,0,24,24,24,0.00898248668751049
"579",578,"SOAD16183","Navaldia","Yes","Flood Risk Reduction","Earth",4.379,0.167,NA,NA,5.32658,"",0.5,NA,"Significant","Poor",0.147,246.8,361.5,NA,37,0,37,8,37,0.017190474859955
"580",579,"SOAD16292","Lyndrassia","Yes","Fire Protection, Stock, Or Small Fish Pond","Earth",10.345,0.1,NA,NA,13.31645,"",0,57.25,"Low","",0.0591,9.7,171,NA,59,0,59,59,59,0.00624343814087028
"581",580,"SOAD16631","Navaldia","No","Fire Protection, Stock, Or Small Fish Pond","Earth",9.891,0.062,NA,NA,1020.04007,"",0,NA,"Low","Not Rated",0.1191,24.5,22.4,NA,61,0,61,61,11,0.013463952316967
"582",581,"SOAD17623","Lyndrassia","Yes","","Earth",14.44,0.127,NA,0.01379,NA,"Uncontrolled",0.2,1.96,"Low","Satisfactory",0.0373,46.8,240.5,NA,20,0,20,5,15,0.00385146055177323
"583",582,"SOAD18625","Lyndrassia","No","Irrigation","Earth",5.446,NA,NA,0.02561,1099.93877,"",0,0,"High","Not Rated",0.1355,25.9,740.5,44.7,72,0,72,47,72,0.0156144867813237
"584",583,"SOAD00298","Flumevale","Yes","Hydroelectric","Earth",11.238,0.073,NA,0.01576,74.57212,"",0.166666666666667,23.39,"Low","Satisfactory",0.0429,18.9,127.3,74.5,121,0,121,13,10,0.00443995319851878
"585",584,"SOAD00386","Navaldia","No","Fire Protection, Stock, Or Small Fish Pond","Earth",10.902,0.15,NA,0.01773,NA,"Uncontrolled",0,12.74,"Low","Not Rated",0.0997,32,311.1,NA,NA,0,NA,34,11,0.0110143788974846
"586",585,"SOAD00617","Lyndrassia","No","Fire Protection, Stock, Or Small Fish Pond","Earth",10.178,0.133,9370,0.06698,1811.0372,"Uncontrolled",0,NA,"Low","Not Rated",0.0679,15.1,15.3,NA,23,0,23,23,23,0.00723933661246787
"587",586,"SOAD00708","Lyndrassia","No","Fish and Wildlife Pond","Earth",9.492,0.233,35000,0.0394,1259.73617,"Uncontrolled",0,NA,"Low","Not Rated",0.0671,8,12.2,NA,51,0,51,51,51,0.0071483665949822
"588",587,"SOAD00848","Lyndrassia","No","Grade Stabilization","Earth",9.748,0.155,18681,0.0591,1970.8346,"Uncontrolled",0,NA,"Low","Not Rated",0.1185,10.3,20.9,NA,31,0,31,31,31,0.0133842666488027
"589",588,"SOAD01322","Lyndrassia","No","Grade Stabilization","Earth",10.371,0.13,7892,0.1576,2479.52299,"Uncontrolled",0,NA,"Low","Not Rated",0.0795,10.3,4.9,NA,40,0,40,40,40,0.00857902083248855
"590",589,"SOAD01436","Lyndrassia","Yes","","Earth",14.944,0.067,NA,0.00788,NA,"Uncontrolled",0.2,3.73,"Significant","Satisfactory",0.0961,11.3,542,NA,NA,0,NA,2,13,0.0105733514788288
"591",590,"SOAD01457","Lyndrassia","No","Grade Stabilization","Earth",9.317,0.122,11628,0.00788,886.87557,"Uncontrolled",0,NA,"Low","Not Rated",0.0841,10.7,8.9,NA,33,0,33,33,33,0.00912549456993361
"592",591,"SOAD03105","Navaldia","Yes","Recreation","Earth",7.46,0.1,NA,0.02561,2.66329,"",0.5,NA,"Significant","Not Rated",0.1396,32.3,360.8,7.2,108,0,108,8,108,0.0161695096184498
"593",592,"SOAD03703","Navaldia","Yes","Other","Earth",8.365,0.068,NA,NA,2.66329,"",0.2,NA,"Low","Not Rated",0.0552,8.2,5.6,NA,32,0,32,7,32,0.00580547261376001
"594",593,"SOAD04543","Flumevale","Yes","Flood Risk Reduction","Earth",7.983,0.082,NA,0.01773,NA,"Uncontrolled",0.333333333333333,0,"Significant","Satisfactory",0.1271,19.6,809.3,NA,67,0,67,4,4,0.0144958926104206
"595",594,"SOAD04773","Lyndrassia","No","Grade Stabilization","Earth",11.265,0.161,7839,0.04925,2301.08256,"Uncontrolled",0,NA,"Low","Not Rated",0.1148,43.3,20.8,NA,20,0,20,20,20,0.0129180784944817
"596",595,"SOAD05303","Lyndrassia","No","Fish and Wildlife Pond","Earth",10.247,0.093,15000,0.01576,729.74146,"Uncontrolled",0,NA,"Low","Not Rated",0.1052,25.1,20.7,NA,50,0,50,50,50,0.0116947701892523
"597",596,"SOAD05835","Lyndrassia","No","Grade Stabilization","Earth",10.198,0.14,6257,0.13593,2010.78395,"Uncontrolled",0,NA,"Low","Not Rated",0.1015,33.4,7.7,NA,57,0,57,57,57,0.0112361476346482
"598",597,"SOAD05974","Lyndrassia","No","Grade Stabilization","Earth",9.351,0.141,6244,0.00788,191.75688,"Uncontrolled",0,NA,"Low","Not Rated",0.0528,12.2,16.8,NA,34,0,34,34,34,0.00553706245095797
"599",598,"SOAD07716","Navaldia","Yes","Flood Risk Reduction","Earth",5.055,0.2,NA,NA,2.66329,"",0.5,NA,"Significant","Satisfactory",0.1202,111,30.4,NA,NA,0,NA,5,NA,0.0136112216750111
"600",599,"SOAD10119","Lyndrassia","No","Grade Stabilization","Earth",12.104,0.079,7084,0.02561,1110.59193,"Uncontrolled",0,NA,"Low","Not Rated",0.1101,6.5,20.9,NA,35,0,35,35,35,0.0123304549358419
"601",600,"SOAD10417","Lyndrassia","No","Debris Control","Earth",12.133,0.067,10404,0.01182,95.87844,"Uncontrolled",0,NA,"Significant","Not Rated",0.1596,12,351.5,NA,53,0,53,53,53,0.0189576598667633
"602",601,"SOAD11266","Lyndrassia","No","Grade Stabilization","Earth",10.628,0.07,5905,0.00788,442.10614,"Uncontrolled",0,NA,"Low","Not Rated",0.0628,16.7,14.9,NA,33,0,33,33,33,0.00666089474375677
"603",602,"SOAD11269","Flumevale","Yes","Debris Control","Earth",15.13,0.088,33000,0.01773,5.32658,"",1,4.99,"Significant","Satisfactory",0.0987,12.4,722.7,NA,39,0,39,3,8,0.0108915408004363
"604",603,"SOAD11383","Lyndrassia","No","Grade Stabilization","Earth",9.629,0.125,11493,0.04925,1336.97158,"Uncontrolled",0,NA,"Low","Not Rated",0.103,8.6,6.6,NA,29,0,29,29,29,0.011421619166174
"605",604,"SOAD11525","Navaldia","Yes","Irrigation","Earth",13.784,0.133,NA,0.01773,2.66329,"",0.5,NA,"Significant","Unsatisfactory",0.1619,9.9,263.4,40.6,44,0,44,4,44,0.0192913450259292
"606",605,"SOAD13380","Navaldia","No","Recreation","Earth",9.388,0.169,NA,NA,NA,"",0,NA,"Low","Not Rated",0.1274,24.6,10.3,3.3,45,0,45,45,11,0.014535403183717
"607",606,"SOAD14094","Lyndrassia","No","Fire Protection, Stock, Or Small Fish Pond","Earth",9.786,0.092,19000,0.05713,1262.39946,"Uncontrolled",0,NA,"Low","Not Rated",0.0926,13.6,23.3,NA,55,0,55,55,55,0.0101476337622225
"608",607,"SOAD14404","Lyndrassia","No","Fish and Wildlife Pond","Earth",10.618,0.181,10855,0.11426,5403.81541,"Uncontrolled",0,NA,"Low","Not Rated",0.1234,20.4,21.1,NA,23,0,23,23,23,0.01398673823196
"609",608,"SOAD15877","Lyndrassia","No","Grade Stabilization","Earth",10.823,0.118,6999,0.10441,3363.73527,"Uncontrolled",0,NA,"Low","Not Rated",0.1052,26.4,18.8,NA,23,0,23,23,23,0.0116947701892523
"610",609,"SOAD16450","Lyndrassia","No","Recreation","",11.645,0.14,NA,0.02561,439.44285,"Uncontrolled",0,0,"High","Not Rated",0.1232,34.4,897.1,3.7,NA,0,NA,18,NA,0.0139591216601737
"611",610,"SOAD16604","Navaldia","Yes","Flood Risk Reduction","Earth",5.112,0.113,NA,NA,2.66329,"",0.5,NA,"Significant","Satisfactory",0.1278,41.7,181,NA,27,0,27,4,27,0.0145881348618932
"612",611,"SOAD16626","Lyndrassia","No","Grade Stabilization","Earth",10.019,0.122,13016,0.04137,1065.316,"Uncontrolled",0,NA,"Low","Not Rated",0.1001,39.1,22,NA,30,0,30,30,30,0.0110635869095681
"613",612,"SOAD16708","Flumevale","Yes","Other","Gravity",15.237,0.012,3672,0.01773,3177.30497,"",2,NA,"Low","Satisfactory",0.0718,31.7,11,NA,72,0,72,4,8,0.00768411835079302
"614",613,"SOAD18332","Lyndrassia","No","Fish and Wildlife Pond","Earth",8.803,0.142,25000,0.00788,231.70623,"Uncontrolled",0,NA,"Low","Not Rated",0.0836,8.3,18.8,NA,58,0,58,58,58,0.00906586945745317
"615",614,"SOAD18775","Navaldia","Yes","Recreation","Earth",12.697,0.117,NA,0.21079,13.31645,"",0.2,NA,"Low","Not Rated",0.0453,42.3,18.8,5,64,0,64,7,64,0.00470430691937635
"616",615,"SOAD20418","Lyndrassia","No","Fire Protection, Stock, Or Small Fish Pond","Earth",10.878,0.097,5500,0.03349,1193.15392,"Uncontrolled",0,NA,"Low","Not Rated",0.0884,44.3,5.1,NA,25,0,25,25,25,0.00964054909527886
"617",616,"SOAD20505","Flumevale","Yes","Recreation","Earth",9.89,0.071,NA,0.01576,13.31645,"Uncontrolled",0.166666666666667,8.37,"Low","Fair",0.0356,7.4,233.2,8.4,71,0,71,3,3,0.00366944897932646
"618",617,"SOAD00330","Navaldia","No","","Earth",5.649,0.044,NA,0.01576,NA,"Uncontrolled",0,NA,"Significant","Not Rated",0.1179,16.7,32.7,NA,NA,1,14,14,7,0.013305046186233
"619",618,"SOAD00361","Navaldia","Yes","Recreation","Earth",5.246,0.133,NA,0.02167,NA,"Uncontrolled",0.2,NA,"High","Fair",0.0919,39.4,952.6,6,NA,1,16,5,5,0.0100628384331551
"620",619,"SOAD01666","Navaldia","No","","Earth",10.839,0.045,5099,0.02561,NA,"",0,NA,"Low","Not Rated",0.0958,36.9,7.1,NA,56,0,56,56,11,0.010536745590558
"621",620,"SOAD03390","Flumevale","No","Recreation","Earth",8.866,0.072,2891,NA,26.6329,"Controlled",0.1,19.44,"Low","Not Rated",0.0195,8.3,302.5,6.2,87,0,87,12,87,0.001978699221511
"622",621,"SOAD03425","Lyndrassia","No","Other","Earth",8.665,NA,NA,0.01576,74.57212,"",0,0,"Low","Not Rated",0.1109,13.8,774.1,NA,NA,0,NA,NA,NA,0.0124243495717063
"623",622,"SOAD03999","Navaldia","No","","Earth",10.385,0.087,11167,NA,NA,"",0,NA,"Low","Not Rated",0.0879,20.7,8.6,NA,48,0,48,48,11,0.0095804481076082
"624",623,"SOAD04757","Flumevale","Yes","Irrigation","Earth",9.706,0.07,NA,0.01773,NA,"Uncontrolled",0.166666666666667,23.17,"Low","Not Rated",0.0821,25.6,280.5,11.7,72,0,72,3,72,0.00888732410400924
"625",624,"SOAD06311","Lyndrassia","No","Fire Protection, Stock, Or Small Fish Pond","",8.571,NA,NA,0.01773,NA,"",0,0,"Significant","Not Rated",0.1692,31.3,616.9,NA,34,0,34,34,34,0.0203863403796575
"626",625,"SOAD06447","Lyndrassia","Yes","Fire Protection, Stock, Or Small Fish Pond","Earth",8.394,0.067,NA,NA,NA,"",0,0,"Low","",0.0767,11.8,232.9,NA,66,0,66,66,66,0.00824868484017461
"627",626,"SOAD06488","Lyndrassia","No","Debris Control","Earth",8.822,NA,NA,0.01576,127.83792,"",0,0,"Low","Not Rated",0.0982,24.6,763.8,NA,50,0,50,50,50,0.0108302181855837
"628",627,"SOAD06687","Navaldia","Yes","Recreation","Earth",5.129,0.2,NA,0.0197,7.98987,"",1,NA,"High","Poor",0.1146,36.9,619.8,7.2,NA,0,NA,5,NA,0.0129184150065148
"629",628,"SOAD06868","Lyndrassia","No","Grade Stabilization","Earth",11.91,0.113,5463,0.02561,396.83021,"Uncontrolled",0,NA,"Low","Not Rated",0.1038,6.3,8.8,NA,30,0,30,30,30,0.0115207899271086
"630",629,"SOAD07538","Lyndrassia","No","Grade Stabilization","Earth",9.522,0.117,4633,0.02364,1129.23496,"Uncontrolled",0,NA,"Low","Not Rated",0.0851,15.6,15.4,NA,45,0,45,45,45,0.00924490986816162
"631",630,"SOAD08049","Lyndrassia","No","Grade Stabilization","Earth",9.469,0.083,5994,0.02561,356.88086,"Uncontrolled",0,NA,"Low","Not Rated",0.0863,35.4,12.6,NA,31,0,31,31,31,0.00938849929527537
"632",631,"SOAD08636","Navaldia","No","Recreation","Earth",12.094,0.146,8692,NA,NA,"",0,NA,"Low","Not Rated",0.0853,43.2,22.3,8.8,46,0,46,46,11,0.00926881936480435
"633",632,"SOAD08955","Navaldia","Yes","Flood Risk Reduction","Earth",11.23,0.1,NA,NA,NA,"",0,NA,"Low","Not Rated",0.0631,26.7,21.6,NA,54,0,54,54,11,0.00669482361570264
"634",633,"SOAD09261","Navaldia","Yes","Recreation","Earth",9.384,0.047,NA,0.02561,NA,"",0.5,NA,"Significant","Not Rated",0.1828,27.6,242.9,5.1,NA,0,NA,7,NA,0.0224111612047661
"635",634,"SOAD09589","Navaldia","Yes","","Earth",5.351,0.112,NA,0.02758,5.32658,"Uncontrolled",0.2,NA,"High","Fair",0.063,9.4,648.3,NA,59,0,59,5,11,0.00668351264910157
"636",635,"SOAD09661","Navaldia","Yes","Irrigation","Earth",4.895,0.047,NA,0.02167,5.32658,"",0.5,NA,"Significant","Fair",0.1311,24,171.4,29.9,NA,0,NA,7,NA,0.0150253893609152
"637",636,"SOAD09982","Navaldia","Yes","Recreation","Earth",11.848,0.078,NA,NA,NA,"",0,NA,"Low","Not Rated",0.0819,27.6,9.9,5.1,45,0,45,45,11,0.00886355547402057
"638",637,"SOAD11220","Navaldia","Yes","Other","Earth",15.298,0.067,NA,0.01182,NA,"",1,NA,"High","Satisfactory",0.086,15.2,736.7,NA,NA,0,NA,5,NA,0.00935257211409586
"639",638,"SOAD11466","Lyndrassia","No","Fish and Wildlife Pond","Earth",8.842,0.153,5609,0.01576,226.37965,"Uncontrolled",0,NA,"Low","Not Rated",0.0843,16.3,20.1,NA,48,0,48,48,48,0.00914936001637151
"640",639,"SOAD11498","Lyndrassia","No","Grade Stabilization","Earth",11.252,0.067,6410,0.01576,138.49108,"Uncontrolled",0,NA,"Low","Not Rated",0.0891,21,10.7,NA,41,0,41,41,41,0.00972478465483404
"641",640,"SOAD12080","Lyndrassia","No","Grade Stabilization","Earth",10.365,0.123,9109,0.01773,186.4303,"Uncontrolled",0,NA,"Low","Not Rated",0.0864,5.6,8.4,NA,23,0,23,23,23,0.00940047944810111
"642",641,"SOAD12438","Lyndrassia","No","Grade Stabilization","Earth",10.907,0.13,9404,0.0591,1970.8346,"Uncontrolled",0,NA,"Low","Not Rated",0.0831,18.6,13.8,NA,19,0,19,19,19,0.00900629933771274
"643",642,"SOAD12800","Lyndrassia","No","Other","Earth",11.204,0.115,5211,0.03349,748.38449,"Uncontrolled",0,NA,"Low","Not Rated",0.1074,13.8,6.1,NA,26,0,26,26,26,0.0119631245618288
"644",643,"SOAD13019","Lyndrassia","No","Grade Stabilization","Earth",10.438,0.067,7171,0.04137,4154.7324,"Uncontrolled",0,NA,"Low","Not Rated",0.1157,18.8,18.1,NA,30,0,30,30,30,0.0130186729101719
"645",644,"SOAD14159","Navaldia","Yes","Recreation","Earth",3.712,0.042,NA,NA,2.66329,"",0.5,NA,"Significant","Poor",0.1656,78.1,258.7,8.2,NA,0,NA,5,NA,0.0198311917028074
"646",645,"SOAD14842","Navaldia","No","Flood Risk Reduction","Earth",9.46,0.06,5056,NA,NA,"",0,NA,"Low","Not Rated",0.0728,43,14.2,NA,63,0,63,63,11,0.00779852852161775
"647",646,"SOAD15227","Lyndrassia","No","Grade Stabilization","Earth",10.156,0.092,5974,0.01576,191.75688,"Uncontrolled",0,NA,"Low","Not Rated",0.0985,30.3,10.5,NA,25,0,25,25,25,0.010867004091278
"648",647,"SOAD15256","Navaldia","Yes","Flood Risk Reduction","Earth",13.933,0.392,NA,0.02561,NA,"",0,NA,"Low","Not Rated",0.0794,33.9,22,NA,48,0,48,48,11,0.00856719291792713
"649",648,"SOAD15624","Lyndrassia","No","Fish and Wildlife Pond","",11.925,NA,NA,0.01773,386.17705,"",0,14.06,"Significant","Not Rated",0.1455,38.6,129.9,NA,40,0,40,40,40,0.0169750393119803
"650",649,"SOAD15987","Lyndrassia","Yes","Fire Protection, Stock, Or Small Fish Pond","Earth",11.836,0.091,NA,NA,7.98987,"Uncontrolled",0,0,"Low","",0.1149,14.3,842.2,NA,61,0,61,61,61,0.0128991481237105
"651",650,"SOAD16015","Lyndrassia","No","Grade Stabilization","Earth",9.496,0.114,7448,0.07683,2474.19641,"Uncontrolled",0,NA,"Low","Not Rated",0.0652,8.5,12,NA,30,0,30,30,30,0.00693266417085189
"652",651,"SOAD16041","Navaldia","Yes","","Earth",20.519,0.183,NA,NA,NA,"Uncontrolled",0.2,0,"High","Fair",0.061,27.8,851.5,NA,77,0,77,5,5,0.0064575757901961
"653",652,"SOAD16232","Navaldia","No","Recreation","Concrete",4.272,0.025,NA,0.02955,13.31645,"Uncontrolled",0,NA,"Significant","Not Rated",0.1524,30,354.1,6,47,2,20,15,10,0.0179158665977817
"654",653,"SOAD16866","Lyndrassia","No","Grade Stabilization","Earth",11.649,0.058,6378,0.0985,2127.96871,"Uncontrolled",0,NA,"Low","Not Rated",0.1082,36.8,6.8,NA,30,0,30,30,30,0.0120522033308046
"655",654,"SOAD17061","Navaldia","Yes","Other","Earth",9.237,0.117,NA,0.01773,2.66329,"",0.2,NA,"Low","Not Rated",0.0714,23.3,20.6,NA,NA,0,NA,7,NA,0.00763839711176839
